Ship_Name;MMSI;Origin_Port;Destination_Port;Draught;Length;Width;Congestion;Wind;Visibility;Arrival_Time;Crew_ETA
XIN CHONG QING      ;413055000;Rotterdam;Hamburg;9.6;263.0;32.0;12.0;5.14;10000.0;2026-05-22 06:27:30.048105206;{'Day': 23, 'Hour': 19, 'Minute': 0, 'Month': 5}
VEENINGEN           ;244630651;Antwerp;Rotterdam;3.7;110.0;14.0;16.0;4.22;10000.0;2026-05-22 06:27:31.522515992;{'Day': 30, 'Hour': 8, 'Minute': 52, 'Month': 5}
ONE TRIBUTE         ;431787000;Rotterdam;Hamburg;11.0;400.0;59.0;12.0;5.14;10000.0;2026-05-22 06:27:32.775309356;{'Day': 30, 'Hour': 6, 'Minute': 0, 'Month': 6}
CMA CGM MERCANTOUR  ;636023293;Antwerp;Le;11.7;255.0;40.0;4.0;;;2026-05-22 06:27:33.701176819;{'Day': 2, 'Hour': 2, 'Minute': 0, 'Month': 6}
MSC SAO PAULO V     ;636016492;Bremerhaven;Le;10.5;294.0;32.0;4.0;;;2026-05-22 06:27:35.357536807;{'Day': 24, 'Hour': 16, 'Minute': 30, 'Month': 5}
RHENUS DORTMUND;211846860;Antwerp;Rotterdam;2.0;172.0;12.0;16.0;4.22;10000.0;2026-05-22 06:29:58.100269025;{'Day': 18, 'Hour': 8, 'Minute': 0, 'Month': 5}
CHARIS              ;205528890;Antwerp;Rotterdam;0.0;135.0;15.0;16.0;4.22;10000.0;2026-05-22 06:30:05.903015113;{'Day': 22, 'Hour': 9, 'Minute': 21, 'Month': 5}
H&S HONESTY         ;245407000;Rotterdam;Antwerp;2.9;88.0;13.0;11.0;1.79;10000.0;2026-05-22 06:32:23.997409859;{'Day': 27, 'Hour': 10, 'Minute': 0, 'Month': 5}
CHRISTIAAN;244670266;Rotterdam;Antwerp;2.0;110.0;11.0;11.0;1.79;10000.0;2026-05-22 06:32:24.390621421;{'Day': 24, 'Hour': 21, 'Minute': 0, 'Month': 5}
AILA;230985000;Hamburg;Bremerhaven;8.5;141.0;22.0;6.0;7.09;6188.0;2026-05-22 06:32:24.517828953;{'Day': 20, 'Hour': 4, 'Minute': 0, 'Month': 5}
TEXAS;244974329;Antwerp;Rotterdam;3.9;110.0;14.0;16.0;4.22;10000.0;2026-05-22 06:32:25.016144128;{'Day': 19, 'Hour': 17, 'Minute': 49, 'Month': 5}
RIVER DRONE 5;205565590;Rotterdam;Antwerp;3.2;106.0;12.0;11.0;1.79;10000.0;2026-05-22 06:32:26.829201682;{'Day': 20, 'Hour': 11, 'Minute': 39, 'Month': 5}
WILSON DIRDAL       ;255915955;Bremerhaven;Hamburg;6.0;88.0;13.0;12.0;5.14;10000.0;2026-05-22 06:32:26.926380815;{'Day': 24, 'Hour': 10, 'Minute': 0, 'Month': 5}
PROVIDER;244002399;Antwerp;Rotterdam;1.6;110.0;14.0;16.0;4.22;10000.0;2026-05-22 06:32:27.139620050;{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}
EVER MEGA           ;563229400;Rotterdam;Bremerhaven;14.7;366.0;51.0;6.0;7.09;6188.0;2026-05-22 06:32:28.784281745;{'Day': 1, 'Hour': 20, 'Minute': 0, 'Month': 6}
VEENDAM             ;244700842;Antwerp;Rotterdam;2.0;86.0;12.0;16.0;4.22;10000.0;2026-05-22 06:32:29.787025990;{'Day': 24, 'Hour': 8, 'Minute': 47, 'Month': 5}
DELIA;304011029;Bremerhaven;Rotterdam;4.5;89.0;12.0;16.0;4.22;10000.0;2026-05-22 06:32:35.722123598;{'Day': 25, 'Hour': 23, 'Minute': 0, 'Month': 5}
DEO CONFIDENTES;244730862;Antwerp;Rotterdam;0.0;135.0;12.0;16.0;4.22;10000.0;2026-05-22 06:32:36.927430684;{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}
METROPOLIS;244690052;Antwerp;Rotterdam;0.0;135.0;18.0;16.0;4.22;10000.0;2026-05-22 06:32:37.398846325;{'Day': 26, 'Hour': 5, 'Minute': 18, 'Month': 5}
BERYL;244830541;Rotterdam;Antwerp;3.0;86.0;15.0;11.0;1.79;10000.0;2026-05-22 06:32:44.410831036;{'Day': 24, 'Hour': 21, 'Minute': 57, 'Month': 5}
MAXY                ;211504980;Rotterdam;Antwerp;1.0;110.0;12.0;11.0;1.79;10000.0;2026-05-22 06:35:25.974536800;{'Day': 8, 'Hour': 13, 'Minute': 41, 'Month': 4}
ST. EUSTATIUS;244790272;Antwerp;Rotterdam;0.0;85.0;10.0;16.0;4.22;10000.0;2026-05-22 06:36:38.685265570;{'Day': 28, 'Hour': 3, 'Minute': 28, 'Month': 5}
TELESTHO;244082008;Antwerp;Rotterdam;1.5;110.0;12.0;16.0;4.22;10000.0;2026-05-22 06:36:41.708564775;{'Day': 21, 'Hour': 18, 'Minute': 50, 'Month': 5}
SENIORITY;235098058;Antwerp;Le;4.9;95.0;18.0;4.0;;;2026-05-22 06:36:54.715531446;{'Day': 23, 'Hour': 22, 'Minute': 30, 'Month': 5}
DREAM ARRAX         ;538006211;Le;Antwerp;5.6;99.0;17.0;11.0;1.79;10000.0;2026-05-22 06:39:07.299499026;{'Day': 10, 'Hour': 7, 'Minute': 0, 'Month': 5}
